year,fund_code,fund_name,appropriations,estimated_revenues,appropriated_fund_balance,tax_levy,source_doc,status
2005,001,General Fund,30840590,8030960,1250000,21559630,05.adopted.budget.pdf,Adopted
2009,001,General Fund,39517562,11200860,2005602,26311100,2009.adopted.budget.pdf,Adopted
2010,001,General Fund,43277978,10956345,4701200,27620433,2010.adopted.budget.pdf,Adopted
2011,001,General Fund,42383100,10532600,2600000,29250500,2011.Adopted Budget.pdf,Adopted
2012,001,General Fund,43865900,11141600,2600000,30124300,2012.Adopted.Budget.pdf,Adopted
2013,001,General Fund,44981980,10845400,3082680,31053900,document957030902120612.pdf (2013),Adopted
2014,001,General Fund,46327350,10923450,3570500,31833400,document957043856112013.pdf (2014),Adopted
2015,001,General Fund,45668800,12973500,0,32695300,document957022719050415.pdf (2015),Final/Adopted
2016,001,General Fund,46136300,11545700,0,34590600,document957104317121615.pdf (2016),Adopted
2017,001,General Fund,47100400,10846000,0,36254400,document957094340010417.pdf (2017),Adopted
2018,001,General Fund,48463550,11141250,0,37322300,document958090952092917.pdf (2018),Tentative
2019,001,General Fund,50648900,11800100,0,38848800,document958105748120718.pdf (2019),Final/Adopted
2020,A01,General Fund,51359400,11289400,0,40070000,2020AdoptedBudget957121129112119PM.pdf,Adopted
2021,A01,General Fund,52007600,10223100,0,41784500,2021AdoptedBudget958090915113020AM.pdf,Adopted
2022,A01,General Fund,52487600,11998462,0,40489138,2022AdoptedBudget958105751111721AM.pdf,Adopted
2024,A01,General Fund,60797800,14273650,2000000,44524150,2024AdoptedBudget1505034817111523PM.pdf,Adopted
2025,A01,General Fund,64852829,14463350,1750000,48639479,2025AdoptedBudget1518015509112024PM.pdf,Adopted
