page,table_index,row_index,col_index,value
1,0,0,0,Kenneth Rothwell
1,0,0,1,Robert
1,0,1,0,Town Council
1,0,1,1,Town
1,0,2,0,
1,0,2,1,
1,0,3,0,Denise Merrifield
1,0,3,1,Joann
1,0,4,0,Town Council
1,0,4,1,Town
2,1,0,0,
2,1,0,1,
2,1,0,2,TOWN O
2,1,0,3,F RIVERHEAD NEW YORK
2,1,0,4,
2,1,1,0,
2,1,1,1,
2,1,1,2,
2,1,1,3,
2,1,1,4,
2,1,2,0,
2,1,2,1,
2,1,2,2,2026
2,1,2,3,PRELIMINARY BUDGET
2,1,2,4,
2,1,3,0,
2,1,3,1,
2,1,3,2,
2,1,3,3,
2,1,3,4,
2,1,4,0,
2,1,4,1,
2,1,4,2,TA
2,1,4,3,BLE OF CONTENTS
2,1,4,4,
2,1,5,0,
2,1,5,1,
2,1,5,2,
2,1,5,3,
2,1,5,4,
2,1,6,0,Fund
2,1,6,1,TITLE
2,1,6,2,
2,1,6,3,PA
2,1,6,4,G
2,1,7,0,
2,1,7,1,
2,1,7,2,
2,1,7,3,
2,1,7,4,
2,1,8,0,
2,1,8,1,Fund Descripti
2,1,8,2,on
2,1,8,3,
2,1,8,4,1
2,1,9,0,
2,1,9,1,
2,1,9,2,
2,1,9,3,
2,1,9,4,
2,1,10,0,
2,1,10,1,Summary Page
2,1,10,2,
2,1,10,3,
2,1,10,4,3
2,1,11,0,
2,1,11,1,
2,1,11,2,
2,1,11,3,
2,1,11,4,
2,1,12,0,
2,1,12,1,Fund Balances
2,1,12,2,
2,1,12,3,
2,1,12,4,4
2,1,13,0,
2,1,13,1,
2,1,13,2,
2,1,13,3,
2,1,13,4,
2,1,14,0,
2,1,14,1,Salaries of Elec
2,1,14,2,ted Offic
2,1,14,3,ials
2,1,14,4,5
2,1,15,0,
2,1,15,1,
2,1,15,2,
2,1,15,3,
2,1,15,4,
2,1,16,0,
2,1,16,1,
2,1,16,2,
2,1,16,3,Expenditures
2,1,16,4,
2,1,17,0,
2,1,17,1,
2,1,17,2,
2,1,17,3,
2,1,17,4,
2,1,18,0,A01
2,1,18,1,General Fund
2,1,18,2,
2,1,18,3,
2,1,18,4,6
2,1,19,0,
2,1,19,1,
2,1,19,2,
2,1,19,3,
2,1,19,4,
2,1,20,0,A04
2,1,20,1,Police Athletic
2,1,20,2,League
2,1,20,3,
2,1,20,4,20
2,1,21,0,
2,1,21,1,
2,1,21,2,
2,1,21,3,
2,1,21,4,
2,1,22,0,A06
2,1,22,1,Recreation Pro
2,1,22,2,gram Fu
2,1,22,3,nd
2,1,22,4,21
2,1,23,0,
2,1,23,1,
2,1,23,2,
2,1,23,3,
2,1,23,4,
2,1,24,0,CM1
2,1,24,1,Business Impro
2,1,24,2,vement
2,1,24,3,District
2,1,24,4,23
2,1,25,0,
2,1,25,1,
2,1,25,2,
2,1,25,3,
2,1,25,4,
2,1,26,0,CM2
2,1,26,1,East Creek Doc
2,1,26,2,king Faci
2,1,26,3,lity
2,1,26,4,24
2,1,27,0,
2,1,27,1,
2,1,27,2,
2,1,27,3,
2,1,27,4,
2,1,28,0,CM4
2,1,28,1,Community Pr
2,1,28,2,eservatio
2,1,28,3,n Fund
2,1,28,4,25
2,1,29,0,
2,1,29,1,
2,1,29,2,
2,1,29,3,
2,1,29,4,
2,1,30,0,DA1
2,1,30,1,Highway Fund
2,1,30,2,
2,1,30,3,
2,1,30,4,26
2,1,31,0,
2,1,31,1,
2,1,31,2,
2,1,31,3,
2,1,31,4,
2,1,32,0,ES1
2,1,32,1,Riverhead Sew
2,1,32,2,er Distric
2,1,32,3,t
2,1,32,4,28
2,1,33,0,
2,1,33,1,
2,1,33,2,
2,1,33,3,
2,1,33,4,
2,1,34,0,ES3
2,1,34,1,Calverton Sew
2,1,34,2,er Distric
2,1,34,3,t
2,1,34,4,30
2,1,35,0,
2,1,35,1,
2,1,35,2,
2,1,35,3,
2,1,35,4,
2,1,36,0,ES5
2,1,36,1,Riverhead Scav
2,1,36,2,enger W
2,1,36,3,aste
2,1,36,4,32
2,1,37,0,
2,1,37,1,
2,1,37,2,
2,1,37,3,
2,1,37,4,
2,1,38,0,EW1
2,1,38,1,Water District
2,1,38,2,
2,1,38,3,
2,1,38,4,34
2,1,39,0,
2,1,39,1,
2,1,39,2,
2,1,39,3,
2,1,39,4,
2,1,40,0,MS1
2,1,40,1,Workers Comp
2,1,40,2,ensation
2,1,40,3,Fund
2,1,40,4,36
2,1,41,0,
2,1,41,1,
2,1,41,2,
2,1,41,3,
2,1,41,4,
2,1,42,0,MS2
2,1,42,1,Risk Retention
2,1,42,2,Fund
2,1,42,3,
2,1,42,4,37
2,1,43,0,
2,1,43,1,
2,1,43,2,
2,1,43,3,
2,1,43,4,
2,1,44,0,SL1
2,1,44,1,Street Lighting
2,1,44,2,District
2,1,44,3,
2,1,44,4,38
2,1,45,0,
2,1,45,1,
2,1,45,2,
2,1,45,3,
2,1,45,4,
2,1,46,0,SM1
2,1,46,1,Ambulance Dis
2,1,46,2,trict
2,1,46,3,
2,1,46,4,39
2,1,47,0,
2,1,47,1,
2,1,47,2,
2,1,47,3,
2,1,47,4,
2,1,48,0,SR1
2,1,48,1,Refuse and Ga
2,1,48,2,rbage Dis
2,1,48,3,trict
2,1,48,4,40
2,1,49,0,
2,1,49,1,
2,1,49,2,
2,1,49,3,
2,1,49,4,
2,1,50,0,ST1
2,1,50,1,Public Parking
2,1,50,2,District
2,1,50,3,
2,1,50,4,41
2,1,51,0,
2,1,51,1,
2,1,51,2,
2,1,51,3,
2,1,51,4,
2,1,52,0,V01
2,1,52,1,Debt Service F
2,1,52,2,und
2,1,52,3,
2,1,52,4,42
2,1,53,0,
2,1,53,1,
2,1,53,2,
2,1,53,3,
2,1,53,4,
2,1,54,0,Z14
2,1,54,1,Calverton Park
2,1,54,2,s Commu
2,1,54,3,nity Development Agency (CDA)
2,1,54,4,43
3,2,0,0,TA
3,2,0,1,BLE OF CONTENTS
3,2,0,2,
3,2,1,0,
3,2,1,1,
3,2,1,2,
3,2,2,0,Fund TITLE
3,2,2,1,PA
3,2,2,2,G
3,2,3,0,
3,2,3,1,
3,2,3,2,
3,2,4,0,
3,2,4,1,Revenues
3,2,4,2,
3,2,5,0,
