Department,Positions,Total 2026 Expense,Projected Payroll Increase @ 2.5%
ASSESSORS,3,190431.20,4760.78
BUILDING,7,483273.09,12081.83
BUILDINGS & GROUNDS,18,1250421.89,31260.55
ECONOMIC DEVELOPMENT,7,656874.44,16421.86
EISEP PROGRAM,2,80593.50,2014.84
ELECTED OFFICIALS,14,1113946.00,27848.65
ELECTRICAL SERVICES,6,323669.91,8091.75
ENGINEERING,5,537883.80,13447.10
FINANCE,7,655281.74,16382.04
HARBORMASTER,1,73432.62,1835.82
HIGHWAY,36,2446036.22,61150.91
HISTORIAN,1,10200.00,255.00
HUMAN RESOURCES,2,167583.29,4189.58
INFORMATION TECHNOLOGY,6,493782.22,12344.56
JUSTICE COURT,12,710357.98,17758.95
JUVENILE AID BUREAU,2,148867.32,3721.68
LEGISLATIVE,1,59829.12,1495.73
MUNICIPAL GARAGE EMPLOYEES,5,359105.08,8977.63
PLANNING,4,394737.10,9868.43
POLICE,92,12929775.95,323244.40
POLICE - DETECTIVES,9,1537738.98,38443.47
POLICE CIVILIAN,38,2056280.70,51407.02
PURCHASING,2,165093.93,4127.35
RECREATION,7,583582.70,14589.57
REGISTRAR OF VITAL STATISTICS,2,1500.00,37.50
SANITATION DEPARTMENT & YARD WASTE PROGRAM,3,183756.78,4593.92
SENIOR CITIZEN PROGRAMS ADMINISTRATION,2,199074.41,4976.86
SENIOR CITIZEN PROGRAMS BUS OPERATIONS,5,254654.19,6366.35
SENIOR CITIZEN PROGRAMS NUTRITION,6,297483.89,7437.10
SENIORS HELPING SENIORS PROGRAM,2,104370.38,2609.26
SUPERVISOR’S OFFICE,3,247790.94,6194.77
TAX RECEIVER’S OFFICE,3,162205.21,4055.13
TOWN ATTORNEY,16,1594542.10,39863.55
TOWN CLERK,3,181579.36,4539.48
TRANSPORTATION ADMINISTRATION,2,177017.72,4425.44
WASTEWATER DISTRICT,17,1245421.00,31135.53
WATER DISTRICT,18,1489474.47,37236.86
